Unnamed: 0,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,geometry,UIDENTSTLA,LICHT,STRZUSTAND,Date,fatal,serious_injury,minor_injury,Bicycles,Latitude,Longitude,index_right
797788,239019.0,5,5,15,0,2019,4,13,3,3,0,6,0.0,,1,1,0,0,0.0,0,403595.252823,5762048.53742,7.59566148,52.000712384,POINT (7.59566148 52.000712384),,,0.0,2019-04-01 13:00:00,0,0,1,1,52.000712384,7.59566148,0
797996,239227.0,5,5,15,0,2019,5,12,2,3,3,2,0.0,,1,1,0,0,0.0,0,403782.679126,5758724.92014,7.599323239,51.970871263,POINT (7.599323239 51.970871263),,,0.0,2019-05-01 12:00:00,0,0,1,1,51.970871263,7.599323239,0
797997,239228.0,5,5,15,0,2019,5,8,2,3,0,3,0.0,,1,1,0,0,0.0,0,404159.185362,5757573.79385,7.605123732,51.960589597,POINT (7.605123732 51.960589597),,,0.0,2019-05-01 08:00:00,0,0,1,1,51.960589597,7.605123732,0
798071,239302.0,5,5,15,0,2019,5,12,7,3,3,6,0.0,,1,0,0,0,0.0,1,405251.783217,5757275.09907,7.621102885,51.958092069,POINT (7.621102885 51.958092069),,,0.0,2019-05-01 12:00:00,0,0,1,1,51.958092069,7.621102885,0
798072,239303.0,5,5,15,0,2019,5,16,7,3,2,6,0.0,,1,1,0,0,0.0,0,405072.785932,5756350.42253,7.618754156,51.949750165,POINT (7.618754156 51.949750165),,,0.0,2019-05-01 16:00:00,0,0,1,1,51.949750165,7.618754156,0
798073,239304.0,5,5,15,0,2019,5,8,7,2,5,3,0.0,,1,1,0,0,0.0,0,403929.329312,5757907.00357,7.601686255,51.963544929,POINT (7.601686255 51.963544929),,,0.0,2019-05-01 08:00:00,0,1,0,1,51.963544929,7.601686255,0
798194,239425.0,5,5,15,0,2019,5,13,5,2,5,2,0.0,,1,0,0,0,1.0,0,406166.185927,5755138.40405,7.634989641,51.939041484,POINT (7.634989641 51.939041484),,,0.0,2019-05-01 13:00:00,0,1,0,1,51.939041484,7.634989641,0
798195,239426.0,5,5,15,0,2019,5,16,5,3,0,7,0.0,,1,1,0,0,0.0,0,404916.538,5757709.622,7.616105223,51.961940508,POINT (7.616105223 51.961940508),,,0.0,2019-05-01 16:00:00,0,0,1,1,51.961940508,7.616105223,0
798196,239427.0,5,5,15,0,2019,5,10,5,3,5,2,0.0,,1,0,0,0,0.0,0,406662.784,5757885.069,7.641465531,51.963813418,POINT (7.641465531 51.963813418),,,0.0,2019-05-01 10:00:00,0,0,1,1,51.963813418,7.641465531,0
798245,239476.0,5,5,15,0,2019,5,12,6,3,5,3,0.0,,1,0,0,0,0.0,0,403794.026833,5761808.1944,7.598623576,51.998586596,POINT (7.598623576 51.998586596),,,1.0,2019-05-01 12:00:00,0,0,1,1,51.998586596,7.598623576,0
798463,239694.0,5,5,15,0,2019,5,15,3,3,0,7,0.0,,1,1,0,0,0.0,0,404649.574971,5756823.49752,7.612466881,51.95392996,POINT (7.612466881 51.95392996),,,0.0,2019-05-01 15:00:00,0,0,1,1,51.95392996,7.612466881,0
798534,239765.0,5,5,15,0,2019,5,7,3,3,5,3,0.0,,1,0,0,0,0.0,1,405837.273,5757570.263,7.629540127,51.960844592,POINT (7.629540127 51.960844592),,,0.0,2019-05-01 07:00:00,0,0,1,1,51.960844592,7.629540127,0
798535,239766.0,5,5,15,0,2019,5,6,3,3,5,3,0.0,,1,0,0,0,0.0,0,405622.977051,5757094.3581,7.626552943,51.956530617,POINT (7.626552943 51.956530617),,,0.0,2019-05-01 06:00:00,0,0,1,1,51.956530617,7.626552943,0
798537,239768.0,5,5,15,0,2019,5,7,3,3,0,3,0.0,,1,0,0,0,0.0,0,401709.284702,5754327.67991,7.570407595,51.93098505,POINT (7.570407595 51.93098505),,,0.0,2019-05-01 07:00:00,0,0,1,1,51.93098505,7.570407595,0
798630,239861.0,5,5,15,0,2019,5,16,2,3,3,6,0.0,,1,1,0,0,0.0,0,402393.028,5758414.63,7.579188387,51.967839993,POINT (7.579188387 51.967839993),,,0.0,2019-05-01 16:00:00,0,0,1,1,51.967839993,7.579188387,0
798701,239932.0,5,5,70,44,2019,5,14,1,2,2,6,0.0,,1,0,0,0,0.0,0,414468.820131,5759085.26182,7.754753982,51.97585762,POINT (7.754753982 51.97585762),,,0.0,2019-05-01 14:00:00,0,1,0,1,51.97585762,7.754753982,0
798740,239971.0,5,5,15,0,2019,5,15,7,3,5,3,0.0,,1,1,0,0,0.0,0,405314.623345,5755930.54977,7.622387587,51.946017386,POINT (7.622387587 51.946017386),,,0.0,2019-05-01 15:00:00,0,0,1,1,51.946017386,7.622387587,0
798803,240034.0,5,5,15,0,2019,5,21,6,2,0,1,2.0,,1,0,0,0,0.0,0,407116.897801,5758347.73138,7.647948068,51.968048119,POINT (7.647948068 51.968048119),,,0.0,2019-05-01 21:00:00,0,1,0,1,51.968048119,7.647948068,0
798804,240035.0,5,5,15,0,2019,5,13,6,3,2,6,0.0,,1,1,0,0,0.0,0,405267.958751,5757295.06728,7.621332712,51.958274308,POINT (7.621332712 51.958274308),,,0.0,2019-05-01 13:00:00,0,0,1,1,51.958274308,7.621332712,0
